movie_title,genre,mpaa_rating,total_gross,inflation_adjusted_gross,runtime,imdb_rating,rotten_tomatoes_critic_rating,release_year,release_month
Snow White and the Seven Dwarfs,Musical,G,184925485,5228953251,83.0,7.6,98.0,1937,12
Pinocchio,Adventure,G,84300000,2188229052,88.0,7.4,100.0,1940,2
Fantasia,Musical,G,83320000,2187090808,126.0,7.7,95.0,1940,11
Song of the South,Adventure,G,65000000,1078510579,94.0,7.2,,1946,11
Cinderella,Drama,G,85000000,920608730,74.0,7.3,97.0,1950,2
Cinderella,Drama,G,85000000,920608730,105.0,7.3,97.0,1950,2
"20,000 Leagues Under the Sea",Adventure,G,28200000,528279994,127.0,7.2,89.0,1954,12
Lady and the Tramp,Drama,G,93600000,1236035515,76.0,7.3,93.0,1955,6
Sleeping Beauty,Drama,G,9464608,21505832,75.0,7.2,92.0,1959,1
101 Dalmatians,Comedy,G,153000000,1362870985,79.0,7.2,98.0,1961,1
101 Dalmatians,Comedy,G,153000000,1362870985,103.0,7.2,98.0,1961,1
The Absent Minded Professor,Comedy,G,25381407,310094574,92.0,6.8,100.0,1961,3
Babes in Toyland,Musical,G,10218316,124841160,106.0,6.3,,1961,12
Bon Voyage!,Comedy,Not Rated,9230769,109581646,,6.9,83.0,1962,5
The Sword in the Stone,Adventure,G,22182353,153870834,79.0,7.2,71.0,1963,12
The Jungle Book,Musical,Not Rated,141843000,789612346,78.0,7.6,94.0,1967,10
The Jungle Book,Musical,Not Rated,141843000,789612346,111.0,7.6,94.0,1967,10
The Jungle Book,Musical,Not Rated,141843000,789612346,106.0,7.6,94.0,1967,10
Blackbeard's Ghost,Comedy,G,21540050,138612686,106.0,6.8,,1968,2
The Aristocats,Musical,G,55675257,255161499,78.0,7.1,66.0,1970,4
The Boatniks,Comedy,G,18607492,101200742,100.0,5.4,,1970,7
Bedknobs and Broomsticks,Musical,G,17871174,91305448,117.0,7.1,66.0,1971,10
The Apple Dumpling Gang,Comedy,G,31916500,131246872,100.0,6.4,,1975,7
Freaky Friday,Comedy,G,25942000,98067733,95.0,6.3,,1977,1
Freaky Friday,Comedy,G,25942000,98067733,97.0,6.3,,1977,1
The Many Adventures of Winnie the Pooh,,G,0,0,74.0,7.6,93.0,1977,3
The Rescuers,Adventure,G,48775599,159743914,77.0,6.9,81.0,1977,6
Herbie Goes to Monte Carlo,,G,28000000,105847527,105.0,5.6,,1977,6
The Black Hole,,PG,35841901,120377374,98.0,5.9,40.0,1979,12
Midnight Madness,,PG,2900000,9088096,112.0,6.4,,1980,2
The Last Flight of Noah’s Ark,,G,11000000,34472116,97.0,5.8,,1980,6
The Devil and Max Devlin,,PG,16000000,48517980,96.0,5.2,,1981,1
Amy,Drama,PG-13,0,0,100.0,7.8,95.0,1981,3
The Fox and the Hound,Comedy,G,43899231,133118889,83.0,7.3,70.0,1981,7
Condorman,Action,PG,0,0,90.0,5.8,,1981,8
Night Crossing,Drama,PG,4500000,12903059,107.0,6.4,,1982,2
Tron,Action,PG,26918576,77184895,96.0,6.8,70.0,1982,7
Tex,Drama,PG,7199408,20643199,103.0,6.7,,1982,11
Trenchcoat,Comedy,PG,4304286,11519089,91.0,5.3,,1983,3
Something Wicked This Way Comes,Horror,PG,5656087,15136765,95.0,6.8,85.0,1983,4
Never Cry Wolf,Drama,PG,27668764,70669955,105.0,7.5,88.0,1983,10
Running Brave,Drama,PG,1204595,3223725,106.0,6.8,,1983,11
Splash,Comedy,PG,62599495,157057661,111.0,6.2,91.0,1984,3
Country,Drama,PG,8400000,21075000,105.0,6.4,,1984,9
Baby: Secret of the Lost Legend,Adventure,PG,14276095,33900697,95.0,5.0,,1985,3
Return to Oz,Adventure,PG,10618813,25215934,113.0,6.7,56.0,1985,6
The Black Cauldron,Adventure,PG,21288692,50553142,80.0,6.5,55.0,1985,7
My Science Project,Comedy,PG-13,4100000,9736051,94.0,6.1,,1985,8
The Journey of Natty Gann,Drama,PG,9468512,22302956,101.0,7.0,100.0,1985,9
One Magic Christmas,Drama,G,13229514,31415432,89.0,6.6,,1985,11
Down and Out in Beverly Hills,Comedy,R,62134225,141183693,103.0,6.5,83.0,1986,1
Off Beat,Comedy,R,4842778,11003932,92.0,5.8,,1986,4
Ruthless People,Comedy,R,71624879,162748712,93.0,6.9,94.0,1986,6
The Great Mouse Detective,Adventure,G,23605534,53637367,74.0,7.2,81.0,1986,7
Flight of the Navigator,Adventure,PG,18564613,42183197,90.0,6.9,83.0,1986,7
Tough Guys,Comedy,PG-13,21458229,48758184,104.0,6.2,57.0,1986,10
The Color of Money,Drama,R,52293000,117957323,119.0,7.0,89.0,1986,10
Outrageous Fortune,Comedy,R,52864741,113976921,100.0,6.1,43.0,1987,1
Tin Men,Comedy,R,25411386,54787202,112.0,6.5,79.0,1987,3
Ernest Goes to Camp,Comedy,PG,23509382,50686462,92.0,5.5,,1987,5
Benji the Hunted,Adventure,G,15212539,32798382,89.0,6.2,,1987,6
Adventures in Babysitting,Comedy,PG-13,33790923,72853569,102.0,6.9,78.0,1987,7
Stakeout,Comedy,R,65673233,141592160,117.0,6.6,82.0,1987,8
Can't Buy Me Love,Romantic Comedy,PG-13,31623833,68181300,94.0,6.8,48.0,1987,8
Hello Again,Comedy,PG,20419446,44024529,96.0,5.1,33.0,1987,11
3 Men and a Baby,Comedy,PG,167780960,353334607,102.0,3.0,74.0,1987,11
Good Morning Vietnam,Comedy,R,123922370,254414837,121.0,7.3,90.0,1987,12
Shoot to Kill,Action,R,29300000,60097074,110.0,6.5,67.0,1988,2
D.O.A.,Thriller/Suspense,R,12706478,26062188,96.0,1.0,97.0,1988,3
Return to Snowy River,Adventure,PG,13687027,28073384,99.0,6.2,50.0,1988,4
Big Business,Comedy,PG,40150487,82352451,97.0,6.4,50.0,1988,6
Who Framed Roger Rabbit?,Comedy,PG,154112492,316250084,104.0,7.7,97.0,1988,6
Cocktail,Drama,R,78222753,160442289,104.0,5.9,5.0,1988,7
The Rescue,Action,PG-13,5855392,12009960,97.0,2.0,,1988,8
Heartbreak Hotel,Comedy,PG-13,5509417,11300331,97.0,1.0,56.0,1988,9
The Good Mother,Drama,R,4764606,9772655,104.0,1.0,,1988,11
Ernest Saves Christmas,Comedy,PG,28202109,57845202,95.0,1.0,,1988,11
Oliver & Company,Adventure,G,49576671,102254492,74.0,1.0,44.0,1988,11
Beaches,Drama,PG-13,57041866,120381757,123.0,1.0,31.0,1988,12
Three Fugitives,Comedy,PG-13,40590000,85757817,96.0,1.0,12.0,1989,1
New York Stories,Drama,PG,10763469,22740861,124.0,1.0,73.0,1989,3
Disorganized Crime,Comedy,R,7210149,15233465,98.0,1.0,33.0,1989,4
Dead Poets Society,Drama,PG,95860116,202531517,128.0,1.0,84.0,1989,6
"Honey, I Shrunk the Kids",Adventure,PG,130724172,276191669,93.0,1.0,75.0,1989,6
Turner & Hooch,Comedy,PG,71079915,150176361,97.0,1.0,52.0,1989,7
Cheetah,Adventure,G,7882250,16653473,83.0,1.0,,1989,8
An Innocent Man,Drama,R,19397847,40983414,113.0,1.0,,1989,10
Gross Anatomy,Drama,PG-13,11346186,23972012,109.0,1.0,,1989,10
The Little Mermaid,Adventure,G,111543479,223726012,83.0,1.0,93.0,1989,11
Blaze,Drama,R,19049727,39884640,120.0,2.0,96.0,1989,12
Stella,Drama,PG-13,20062347,40077147,109.0,1.0,38.0,1990,2
Where the Heart Is,Comedy,PG-13,1106475,2210321,107.0,2.0,32.0,1990,2
Pretty Woman,Romantic Comedy,R,178406268,356389765,119.0,1.0,62.0,1990,3
Ernest Goes to Jail,Comedy,PG,25029569,49999822,81.0,1.0,,1990,4
Spaced Invaders,Comedy,PG,15000000,29964452,100.0,5.3,,1990,4
Fire Birds,Action,PG-13,14760451,29485923,85.0,4.8,10.0,1990,5
Dick Tracy,Action,PG,103738726,207231621,105.0,6.1,64.0,1990,6
Betsy's Wedding,Comedy,R,19740070,39433357,94.0,5.7,27.0,1990,6
Arachnophobia,Thriller/Suspense,PG-13,53208180,106290270,103.0,6.4,92.0,1990,7
DuckTales: The Movie - Treasure of th…,Adventure,G,18075331,36107823,74.0,6.9,,1990,8
Taking Care of Business,Comedy,R,20005435,39963460,108.0,6.4,,1990,8
Mr. Destiny,Comedy,PG-13,15379253,30722056,110.0,6.4,,1990,10
The Rescuers Down Under,Adventure,G,27931461,55796728,77.0,6.9,68.0,1990,11
3 Men and a Little Lady,Comedy,PG,71609321,143108869,104.0,3.0,20.0,1990,11
Green Card,Romantic Comedy,PG-13,29804169,59679131,107.0,6.1,56.0,1990,12
White Fang,Adventure,PG,34729091,69540672,107.0,6.7,63.0,1991,1
Scenes from a Mall,Comedy,R,9563393,19149495,89.0,5.2,33.0,1991,2
Haakon Haakonsen,Adventure,PG,15024232,30084149,92.0,6.7,,1991,3
The Marrying Man,Romantic Comedy,R,12454768,24939118,115.0,5.8,13.0,1991,4
Oscar,Comedy,PG,23562716,47181395,109.0,6.4,13.0,1991,4
One Good Cop,Action,R,11276846,22580472,114.0,5.8,,1991,5
What About Bob?,Comedy,PG,63710000,127571325,100.0,7.0,83.0,1991,5
Wild Hearts Can't Be Broken,Drama,G,7300000,14617333,88.0,7.2,73.0,1991,5
The Rocketeer,Action,PG,46573027,93256673,108.0,6.4,62.0,1991,6
The Doctor,Drama,PG-13,37497480,75084021,122.0,7.0,84.0,1991,7
Paradise,Drama,PG-13,18634643,37313540,111.0,,,1991,9
Deceived,Thriller/Suspense,PG-13,28738096,57544453,104.0,1.0,,1991,9
Ernest Scared Stupid,Comedy,PG,14143280,28320147,91.0,5.8,,1991,10
Billy Bathgate,Drama,R,15565363,31167691,107.0,5.9,45.0,1991,11
Beauty and the Beast,Musical,G,218951625,363017667,84.0,2.0,71.0,1991,11
Father of the Bride,Comedy,PG,89325780,179821881,105.0,1.0,73.0,1991,12
The Hand That Rocks the Cradle,Thriller/Suspense,R,88036683,178831137,110.0,1.0,63.0,1992,1
Medicine Man,Drama,PG-13,44948240,91304495,106.0,1.0,20.0,1992,2
Blame it on the Bellboy,Comedy,PG-13,2891055,5872667,78.0,1.0,19.0,1992,3
Noises Off...,Comedy,PG-13,2280148,4631720,104.0,1.0,60.0,1992,3
Straight Talk,Comedy,PG,21202099,43068356,91.0,1.0,23.0,1992,4
Newsies,,PG,2706352,5497481,121.0,1.0,39.0,1992,4
Passed Away,,PG-13,4030793,8187848,96.0,1.0,,1992,4
Encino Man,Comedy,PG,40057130,81369058,88.0,1.0,16.0,1992,5
Sister Act,Comedy,PG,139605150,283583472,100.0,1.0,74.0,1992,5
Honey I Blew Up the Kid,Comedy,PG,58662452,119162518,89.0,1.0,40.0,1992,7
A Stranger Among Us,Drama,PG-13,12282994,24950752,110.0,5.8,14.0,1992,7
3 Ninjas,Action,PG,29028000,58965304,84.0,3.0,20.0,1992,8
A Gun in Betty Lou's Handbag,,PG-13,3591460,7295423,89.0,5.4,14.0,1992,8
Captain Ron,Comedy,PG-13,22518097,45741576,90.0,5.7,24.0,1992,9
Sarafina!,Drama,PG-13,7306242,14841352,117.0,6.5,56.0,1992,9
Innocent Blood,Horror,R,4877567,9907922,112.0,6.2,44.0,1992,9
The Mighty Ducks,Comedy,PG,50752337,103120810,104.0,6.5,23.0,1992,10
1492: Conquest of Paradise,Adventure,PG-13,7099531,14421454,154.0,1.0,38.0,1992,10
Consenting Adults,Drama,R,21591728,43859823,99.0,5.7,31.0,1992,10
Aladdin,Comedy,G,217350219,441969178,90.0,2.0,57.0,1992,11
The Distinguished Gentleman,Comedy,R,46434570,94349900,112.0,1.0,14.0,1992,12
The Muppet Christmas Carol,Comedy,G,27281507,55417615,85.0,1.0,69.0,1992,12
Alive,Adventure,R,36299670,73914543,120.0,,,1993,1
Aspen Extreme,Romantic Comedy,PG-13,7843388,15970955,113.0,6.0,64.0,1993,1
Homeward Bound: The Incredible Journey,Adventure,G,41833324,85182343,84.0,6.9,87.0,1993,2
The Cemetery Club,Comedy,PG-13,5583621,11369541,106.0,6.4,,1993,2
Swing Kids,Musical,PG-13,5632086,11468231,112.0,6.8,44.0,1993,3
A Far Off Place,Adventure,PG,12890752,26248558,108.0,6.6,55.0,1993,3
Born Yesterday,Romantic Comedy,PG,17760754,36165012,100.0,7.5,100.0,1993,3
The Adventures of Huck Finn,Adventure,PG,24103594,49080505,108.0,6.2,75.0,1993,4
Bound by Honor,,R,4496583,9156084,180.0,8.0,62.0,1993,4
Indian Summer,Comedy,R,14717851,29968953,97.0,6.6,56.0,1993,4
Super Mario Bros.,Action,PG,20844907,42445058,104.0,4.0,15.0,1993,5
Guilty as Sin,Thriller/Suspense,R,22622537,46064723,107.0,5.6,29.0,1993,6
Life With Mikey,Comedy,PG,12349549,25146538,91.0,5.6,,1993,6
What's Love Got to Do With It,Drama,R,39100956,79618610,118.0,7.3,96.0,1993,6
Son in Law,Comedy,PG-13,25989889,52921433,95.0,5.9,21.0,1993,7
Hocus Pocus,Comedy,PG,39360491,80147079,96.0,6.8,37.0,1993,7
Another Stakeout,Comedy,PG-13,20107504,40943541,108.0,5.5,16.0,1993,7
My Boyfriend's Back,,PG-13,3218882,6554384,85.0,5.3,13.0,1993,8
Father Hood,,PG-13,3268203,6654819,95.0,4.9,,1993,8
The Joy Luck Club,Drama,R,32790064,66768171,139.0,7.6,87.0,1993,9
Money for Nothing,Comedy,R,1044824,2127496,100.0,5.8,33.0,1993,9
The Program,Action,R,23042200,46919256,112.0,6.5,59.0,1993,9
Cool Runnings,Comedy,PG,68856263,140392731,98.0,7.0,76.0,1993,10
The Nightmare Before Christmas,Musical,PG,50408318,100026637,76.0,8.0,95.0,1993,10
The Three Musketeers,Adventure,PG,53661805,109310377,105.0,1.0,31.0,1993,11
Sister Act 2 Back in the Habit,Comedy,PG,57319029,116965668,107.0,2.0,18.0,1993,12
Tombstone,Western,R,56505065,115781734,130.0,7.8,74.0,1993,12
The Air Up There,Comedy,PG,20782439,42940186,107.0,5.5,21.0,1994,1
Cabin Boy,Comedy,PG-13,3469493,7168577,80.0,5.2,19.0,1994,1
Iron Will,Drama,PG,20623071,42610902,108.0,6.6,,1994,1
Red Rock West,,R,2502551,5170709,98.0,7.0,95.0,1994,1
Blank Check,Comedy,PG,30573770,63170804,93.0,5.3,33.0,1994,2
Angie,Comedy,R,9252349,19116981,107.0,5.4,33.0,1994,3
The Ref,Comedy,R,11325885,23401275,97.0,6.9,71.0,1994,3
D2: The Mighty Ducks,Comedy,PG,45604206,94226333,106.0,2.0,20.0,1994,3
Holy Matrimony,Comedy,PG-13,713234,1473665,93.0,5.1,,1994,4
White Fang 2: Myth of the White Wolf,Adventure,PG,8752399,18083994,106.0,2.0,,1994,4
The Inkwell,Comedy,R,8864699,18316030,110.0,6.3,,1994,4
When a Man Loves a Woman,Drama,R,50021959,103354194,126.0,6.5,73.0,1994,4
3 Ninjas Kick Back,Action,PG,11744960,24267154,93.0,3.0,20.0,1994,5
Renaissance Man,Comedy,PG-13,24172899,49945474,128.0,6.2,11.0,1994,6
The Lion King,Adventure,G,422780140,761640898,88.0,8.5,93.0,1994,6
